key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.22,cert,Y
2.16.840.1.101.3.4.3.19,both,N
2.16.840.1.101.3.4.3.19,seed,N
2.16.840.1.101.3.4.3.19,expandedkey,N
2.16.840.1.101.3.4.3.19,consistent,N
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.31,cert,Y
2.16.840.1.101.3.4.3.20,cert,Y
2.16.840.1.101.3.4.3.18,both,N
2.16.840.1.101.3.4.3.18,seed,N
2.16.840.1.101.3.4.3.18,expandedkey,N
2.16.840.1.101.3.4.3.18,consistent,N
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.28,cert,Y
2.16.840.1.101.3.4.3.24,cert,Y
2.16.840.1.101.3.4.3.23,cert,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.17,both,N
2.16.840.1.101.3.4.3.17,seed,N
2.16.840.1.101.3.4.3.17,expandedkey,N
2.16.840.1.101.3.4.3.17,consistent,N
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.26,cert,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.21,cert,Y
2.16.840.1.101.3.4.3.25,cert,Y
2.16.840.1.101.3.4.4.1,cert,Y
2.16.840.1.101.3.4.4.3,cert,Y
2.16.840.1.101.3.4.4.2,cert,Y
