"key_algorithm_oid","ta","ca","ee","crl_ta","crl_ca"
"1.2.840.10045.3.1.7","N","N","N","",""
"1.2.840.10045.3.1.7_1.3.6.1.4.1.2.267.7.4.4","N","N","N","",""
"1.2.840.10045.3.1.7_1.3.6.1.4.1.2.267.7.4.4_1.3.9999.3.4","N","N","N","",""
"1.2.840.10045.3.1.7_1.3.6.1.4.1.2.267.7.6.5","N","N","N","",""
"1.2.840.10045.3.1.7_1.3.6.1.4.1.2.267.7.6.5_1.3.9999.3.1","N","N","N","",""
"1.3.6.1.4.1.2.267.11.4.4","N","N","N","",""
"1.3.6.1.4.1.2.267.11.6.5","N","N","N","",""
"1.3.6.1.4.1.2.267.11.8.7","N","N","N","",""
"1.3.6.1.4.1.2.267.7.4.4","N","N","N","",""
"1.3.6.1.4.1.2.267.7.6.5","N","N","N","",""
"1.3.6.1.4.1.2.267.7.8.7","N","N","N","",""
"1.3.9999.3.1","N","N","N","",""
"1.3.9999.3.4","N","N","N","",""
"1.3.9999.6.4.1","N","N","N","",""
"1.3.9999.6.4.10","N","N","N","",""
"1.3.9999.6.4.4","N","N","N","",""
"1.3.9999.6.4.7","N","N","N","",""
"1.3.9999.6.5.1","N","N","N","",""
"1.3.9999.6.5.3","N","N","N","",""
"1.3.9999.6.5.5","N","N","N","",""
"1.3.9999.6.5.7","N","N","N","",""
"1.3.9999.6.6.1","N","N","N","",""
"1.3.9999.6.6.3","N","N","N","",""
"1.3.9999.6.6.5","N","N","N","",""
"1.3.9999.6.6.7","N","N","N","",""
"2.16.840.1.114027.80.5.1","N","N","N","",""
