key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.19,cert,Y
1.3.6.1.5.5.7.6.40,cert,Y
1.3.6.1.5.5.7.6.39,cert,Y
1.3.6.1.5.5.7.6.38,cert,Y
1.3.6.1.5.5.7.6.37,cert,Y
1.3.6.1.5.5.7.6.45,cert,Y
1.3.6.1.5.5.7.6.46,cert,Y
1.3.6.1.5.5.7.6.48,cert,Y
1.3.6.1.5.5.7.6.42,cert,Y
1.3.6.1.5.5.7.6.41,cert,Y
1.3.6.1.5.5.7.6.44,cert,Y
1.3.6.1.5.5.7.6.43,cert,Y
1.3.6.1.5.5.7.6.49,cert,Y
1.3.6.1.5.5.7.6.54,cert,Y
1.3.6.1.5.5.7.6.52,cert,Y
1.3.6.1.5.5.7.6.53,cert,Y
