key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.17,expandedkey,Y
1.3.6.1.5.5.7.6.39,cert,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.18,expandedkey,Y
1.3.6.1.5.5.7.6.48,cert,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.19,seed,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.27,priv,Y
2.16.840.1.101.3.4.3.26,cert,Y
2.16.840.1.101.3.4.3.26,priv,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.29,priv,Y
2.16.840.1.101.3.4.3.28,cert,Y
2.16.840.1.101.3.4.3.28,priv,Y
2.16.840.1.101.3.4.3.31,cert,Y
2.16.840.1.101.3.4.3.31,priv,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.30,priv,Y
