key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.32,cert,Y
2.16.840.1.101.3.4.3.33,cert,Y
2.16.840.1.101.3.4.3.34,cert,Y
2.16.840.1.101.3.4.3.36,cert,Y
2.16.840.1.101.3.4.3.36,seed,Y
2.16.840.1.101.3.4.3.36,expandedkey,Y
2.16.840.1.101.3.4.3.35,cert,Y
2.16.840.1.101.3.4.3.35,seed,Y
2.16.840.1.101.3.4.3.35,expandedkey,Y
2.16.840.1.101.3.4.3.38,cert,Y
2.16.840.1.101.3.4.3.38,seed,Y
2.16.840.1.101.3.4.3.38,expandedkey,Y
2.16.840.1.101.3.4.3.37,cert,Y
2.16.840.1.101.3.4.3.37,seed,Y
2.16.840.1.101.3.4.3.37,expandedkey,Y
2.16.840.1.101.3.4.3.40,cert,Y
2.16.840.1.101.3.4.3.40,seed,Y
2.16.840.1.101.3.4.3.40,expandedkey,Y
2.16.840.1.101.3.4.3.39,cert,Y
2.16.840.1.101.3.4.3.39,seed,Y
2.16.840.1.101.3.4.3.39,expandedkey,Y
2.16.840.1.101.3.4.3.42,cert,Y
2.16.840.1.101.3.4.3.42,seed,Y
2.16.840.1.101.3.4.3.42,expandedkey,Y
2.16.840.1.101.3.4.3.41,cert,Y
2.16.840.1.101.3.4.3.41,seed,Y
2.16.840.1.101.3.4.3.41,expandedkey,Y
2.16.840.1.101.3.4.3.44,cert,Y
2.16.840.1.101.3.4.3.44,seed,Y
2.16.840.1.101.3.4.3.44,expandedkey,Y
2.16.840.1.101.3.4.3.43,cert,Y
2.16.840.1.101.3.4.3.43,seed,Y
2.16.840.1.101.3.4.3.43,expandedkey,Y
2.16.840.1.101.3.4.3.46,cert,Y
2.16.840.1.101.3.4.3.46,seed,Y
2.16.840.1.101.3.4.3.46,expandedkey,Y
2.16.840.1.101.3.4.3.45,cert,Y
2.16.840.1.101.3.4.3.45,seed,Y
2.16.840.1.101.3.4.3.45,expandedkey,Y
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.21,cert,Y
2.16.840.1.101.3.4.3.21,seed,Y
2.16.840.1.101.3.4.3.21,expandedkey,Y
2.16.840.1.101.3.4.3.20,cert,Y
2.16.840.1.101.3.4.3.20,seed,Y
2.16.840.1.101.3.4.3.20,expandedkey,Y
2.16.840.1.101.3.4.3.23,cert,Y
2.16.840.1.101.3.4.3.23,seed,Y
2.16.840.1.101.3.4.3.23,expandedkey,Y
2.16.840.1.101.3.4.3.22,cert,Y
2.16.840.1.101.3.4.3.22,seed,Y
2.16.840.1.101.3.4.3.22,expandedkey,Y
2.16.840.1.101.3.4.3.25,cert,Y
2.16.840.1.101.3.4.3.25,seed,Y
2.16.840.1.101.3.4.3.25,expandedkey,Y
2.16.840.1.101.3.4.3.24,cert,Y
2.16.840.1.101.3.4.3.24,seed,Y
2.16.840.1.101.3.4.3.24,expandedkey,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.27,seed,Y
2.16.840.1.101.3.4.3.27,expandedkey,Y
2.16.840.1.101.3.4.3.26,cert,Y
2.16.840.1.101.3.4.3.26,seed,Y
2.16.840.1.101.3.4.3.26,expandedkey,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.29,seed,Y
2.16.840.1.101.3.4.3.29,expandedkey,Y
2.16.840.1.101.3.4.3.28,cert,Y
2.16.840.1.101.3.4.3.28,seed,Y
2.16.840.1.101.3.4.3.28,expandedkey,Y
2.16.840.1.101.3.4.3.31,cert,Y
2.16.840.1.101.3.4.3.31,seed,Y
2.16.840.1.101.3.4.3.31,expandedkey,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.30,seed,Y
2.16.840.1.101.3.4.3.30,expandedkey,Y
