key_algorithm_oid,test_result
1.3.9999.6.4.13,Y
1.3.9999.6.4.16,Y
1.3.9999.6.5.10,Y
1.3.9999.6.5.12,Y
1.3.9999.6.6.10,Y
1.3.9999.6.6.12,Y
1.3.9999.6.7.13,Y
1.3.9999.6.7.16,Y
1.3.9999.6.8.10,Y
1.3.9999.6.8.12,Y
1.3.9999.6.9.10,Y
1.3.9999.6.9.12,Y
2.16.840.1.114027.80.8.1.10,Y
2.16.840.1.114027.80.8.1.11,Y
2.16.840.1.114027.80.8.1.12,Y
2.16.840.1.114027.80.8.1.13,Y
2.16.840.1.114027.80.8.1.1,Y
2.16.840.1.114027.80.8.1.2,Y
2.16.840.1.114027.80.8.1.3,Y
2.16.840.1.114027.80.8.1.4,Y
2.16.840.1.114027.80.8.1.5,Y
2.16.840.1.114027.80.8.1.6,N
2.16.840.1.114027.80.8.1.7,Y
2.16.840.1.114027.80.8.1.8,Y
2.16.840.1.114027.80.8.1.9,Y
