key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.17,expandedkey,Y
2.16.840.1.101.3.4.3.18,seed,Y
2.16.840.1.101.3.4.3.19,expandedkey,Y
2.16.840.1.101.3.4.4.1,seed,Y
2.16.840.1.101.3.4.3.17,seed,Y
2.16.840.1.101.3.4.4.3,seed,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.4.3,expandedkey,Y
2.16.840.1.101.3.4.4.2,both,Y
2.16.840.1.101.3.4.4.1,expandedkey,Y
2.16.840.1.101.3.4.4.2,seed,Y
2.16.840.1.101.3.4.4.3,both,Y
2.16.840.1.101.3.4.3.18,expandedkey,Y
2.16.840.1.101.3.4.4.2,expandedkey,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.19,both,Y
2.16.840.1.101.3.4.4.1,both,Y
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.19,seed,Y
