key_algorithm_oid,type,test_result
1.3.6.1.5.5.7.6.37,priv,Y
1.3.6.1.5.5.7.6.38,priv,Y
1.3.6.1.5.5.7.6.39,priv,Y
1.3.6.1.5.5.7.6.40,priv,Y
1.3.6.1.5.5.7.6.41,priv,Y
1.3.6.1.5.5.7.6.42,priv,Y
1.3.6.1.5.5.7.6.43,priv,Y
1.3.6.1.5.5.7.6.44,priv,Y
1.3.6.1.5.5.7.6.45,priv,Y
1.3.6.1.5.5.7.6.46,priv,Y
1.3.6.1.5.5.7.6.47,priv,Y
1.3.6.1.5.5.7.6.48,priv,Y
1.3.6.1.5.5.7.6.49,priv,Y
1.3.6.1.5.5.7.6.50,priv,Y
1.3.6.1.5.5.7.6.51,priv,Y
1.3.6.1.5.5.7.6.52,priv,Y
1.3.6.1.5.5.7.6.53,priv,Y
1.3.6.1.5.5.7.6.54,priv,Y
