key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.17,expandedkey,Y
2.16.840.1.101.3.4.3.17,seed,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.18,expandedkey,Y
2.16.840.1.101.3.4.3.18,seed,Y
2.16.840.1.101.3.4.3.19,both,Y
2.16.840.1.101.3.4.3.19,expandedkey,Y
2.16.840.1.101.3.4.3.19,seed,Y
2.16.840.1.101.3.4.3.32,both,Y
2.16.840.1.101.3.4.3.32,expandedkey,Y
2.16.840.1.101.3.4.3.32,seed,Y
2.16.840.1.101.3.4.3.33,both,Y
2.16.840.1.101.3.4.3.33,expandedkey,Y
2.16.840.1.101.3.4.3.33,seed,Y
2.16.840.1.101.3.4.3.34,both,Y
2.16.840.1.101.3.4.3.34,expandedkey,Y
2.16.840.1.101.3.4.3.34,seed,Y
