key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.19,both,Y
2.16.840.1.101.3.4.3.20,priv,Y
2.16.840.1.101.3.4.3.21,priv,Y
2.16.840.1.101.3.4.3.22,priv,Y
2.16.840.1.101.3.4.3.23,priv,Y
2.16.840.1.101.3.4.3.24,priv,Y
2.16.840.1.101.3.4.3.25,priv,Y
2.16.840.1.101.3.4.3.26,priv,Y
2.16.840.1.101.3.4.3.27,priv,Y
2.16.840.1.101.3.4.3.28,priv,Y
2.16.840.1.101.3.4.3.29,priv,Y
2.16.840.1.101.3.4.3.30,priv,Y
2.16.840.1.101.3.4.3.31,priv,Y
2.16.840.1.101.3.4.3.32,both,Y
2.16.840.1.101.3.4.3.33,both,Y
2.16.840.1.101.3.4.3.34,both,Y
2.16.840.1.101.3.4.3.35,priv,Y
2.16.840.1.101.3.4.3.36,priv,Y
2.16.840.1.101.3.4.3.37,priv,Y
2.16.840.1.101.3.4.3.38,priv,Y
2.16.840.1.101.3.4.3.39,priv,Y
2.16.840.1.101.3.4.3.40,priv,Y
2.16.840.1.101.3.4.3.41,priv,Y
2.16.840.1.101.3.4.3.42,priv,Y
2.16.840.1.101.3.4.3.43,priv,Y
2.16.840.1.101.3.4.3.44,priv,Y
2.16.840.1.101.3.4.3.45,priv,Y
2.16.840.1.101.3.4.3.46,priv,Y
2.16.840.1.101.3.4.4.1,both,Y
2.16.840.1.101.3.4.4.2,both,Y
2.16.840.1.101.3.4.4.3,both,Y
