key_algorithm_oid,test_result
1.3.6.1.4.1.2.267.7.4.4,Y
1.3.6.1.4.1.2.267.7.6.5,Y
1.3.6.1.4.1.2.267.7.8.7,Y
1.3.9999.3.6,
1.3.9999.3.9,
1.3.9999.6.4.13,Y
1.3.9999.6.4.16,Y
1.3.9999.6.5.10,Y
1.3.9999.6.5.12,Y
1.3.9999.6.6.10,Y
1.3.9999.6.6.12,Y
1.3.9999.6.7.13,Y
1.3.9999.6.7.16,Y
1.3.9999.6.8.10,Y
1.3.9999.6.8.12,Y
1.3.9999.6.9.10,Y
1.3.9999.6.9.12,Y
2.16.840.1.114027.80.5.1.14,
2.16.840.1.114027.80.5.1.1,
2.16.840.1.114027.80.5.1.2,
2.16.840.1.114027.80.5.1.3,
2.16.840.1.114027.80.5.1.5,
2.16.840.1.114027.80.5.1.6,
2.16.840.1.114027.80.5.1.8,
2.16.840.1.114027.80.5.1.9,
