key_algorithm_oid,test_result
1.3.9999.3.9,Y
1.3.9999.3.6,Y
2.16.840.1.101.3.4.3.17,Y
2.16.840.1.101.3.4.3.18,Y
2.16.840.1.101.3.4.3.19,Y
2.16.840.1.114027.80.8.1.4,Y
2.16.840.1.114027.80.8.1.5,Y
2.16.840.1.114027.80.8.1.2,Y
2.16.840.1.114027.80.8.1.8,Y
2.16.840.1.114027.80.8.1.9,Y
2.16.840.1.114027.80.8.1.7,Y
2.16.840.1.114027.80.8.1.11,Y
2.16.840.1.114027.80.8.1.12,Y
2.16.840.1.101.3.4.3.21,Y
2.16.840.1.101.3.4.3.20,Y
2.16.840.1.101.3.4.3.23,Y
2.16.840.1.101.3.4.3.22,Y
2.16.840.1.101.3.4.3.25,Y
2.16.840.1.101.3.4.3.24,Y
2.16.840.1.101.3.4.3.27,Y
2.16.840.1.101.3.4.3.26,Y
2.16.840.1.101.3.4.3.29,Y
2.16.840.1.101.3.4.3.28,Y
2.16.840.1.101.3.4.3.31,Y
2.16.840.1.101.3.4.3.30,Y
2.16.840.1.101.3.4.4.3,Y
2.16.840.1.101.3.4.4.1,Y
2.16.840.1.101.3.4.4.2,Y
