key_algorithm_oid,test_result
1.3.6.1.4.1.2.267.7.8.7,N,
1.3.9999.2.7.2,,
1.3.6.1.4.1.2.267.7.4.4,N,
1.3.9999.2.7.4,,
1.3.6.1.4.1.2.267.7.6.5,N,
1.3.9999.6.7.4,,
1.3.9999.6.8.3,,
composite_1.2.840.10045.4.3.4_with_1.3.6.1.4.1.2.267.7.8.7,,
1.3.9999.6.7.13,,
1.3.9999.6.9.10,,
1.3.9999.6.9.3,,
catalyst_1.2.840.10045.4.3.4_with_1.3.6.1.4.1.2.267.7.8.7,,
1.3.6.1.4.1.22554.5.6.9,,
1.3.6.1.4.1.22554.5.6.8,,
1.3.6.1.4.1.22554.5.6.7,,
catalyst_1.2.840.113549.1.1.11_with_1.3.6.1.4.1.2.267.7.4.4,,
1.3.9999.6.8.10,,
1.3.9999.3.1,N,
1.3.9999.3.4,N,
1.3.6.1.4.1.22554.5.6.3,,
1.3.6.1.4.1.22554.5.6.2,,
1.3.6.1.4.1.22554.5.6.1,,
1.3.6.1.4.1.2.267.12.6.5,,
1.2.840.113549.1.1.1,,
1.3.6.1.4.1.2.267.12.4.4,,
1.3.6.1.4.1.59634.9999.2.2.3,,
1.3.6.1.4.1.2.267.12.8.7,,
1.3.6.1.4.1.59634.9999.2.2.2,,
1.3.6.1.4.1.59634.9999.2.2.1,,
1.2.840.10045.2.1,,
composite_1.2.840.113549.1.1.11_with_1.3.6.1.4.1.2.267.7.4.4,,
