key_algorithm_oid,test_result
2.16.840.1.114027.80.8.1.43,
2.16.840.1.114027.80.8.1.42,
2.16.840.1.114027.80.8.1.41,
2.16.840.1.114027.80.8.1.40,
2.16.840.1.114027.80.8.1.48,
2.16.840.1.114027.80.8.1.49,
2.16.840.1.114027.80.8.1.50,
2.16.840.1.114027.80.8.1.45,
2.16.840.1.114027.80.8.1.44,
2.16.840.1.114027.80.8.1.47,
2.16.840.1.114027.80.8.1.46,
2.16.840.1.114027.80.8.1.51,
2.16.840.1.114027.80.8.1.52,
2.16.840.1.114027.80.8.1.53,
2.16.840.1.114027.80.8.1.24,
2.16.840.1.114027.80.8.1.23,
2.16.840.1.114027.80.8.1.22,
2.16.840.1.114027.80.8.1.21,
2.16.840.1.114027.80.8.1.28,
2.16.840.1.114027.80.8.1.29,
2.16.840.1.114027.80.8.1.30,
2.16.840.1.114027.80.8.1.27,
2.16.840.1.114027.80.8.1.26,
2.16.840.1.114027.80.8.1.35,
2.16.840.1.114027.80.8.1.34,
2.16.840.1.114027.80.8.1.31,
2.16.840.1.114027.80.8.1.32,
2.16.840.1.114027.80.8.1.33,
1.3.9999.3.9,Y
2.16.840.1.101.3.4.3.17,Y
2.16.840.1.101.3.4.3.32,Y
2.16.840.1.101.3.4.3.18,Y
2.16.840.1.101.3.4.3.33,Y
2.16.840.1.101.3.4.3.19,Y
2.16.840.1.101.3.4.3.34,Y
2.16.840.1.101.3.4.3.21,Y
2.16.840.1.101.3.4.3.36,Y
2.16.840.1.101.3.4.3.20,Y
2.16.840.1.101.3.4.3.35,Y
2.16.840.1.101.3.4.3.23,Y
2.16.840.1.101.3.4.3.38,Y
2.16.840.1.101.3.4.3.22,Y
2.16.840.1.101.3.4.3.37,Y
2.16.840.1.101.3.4.3.25,Y
2.16.840.1.101.3.4.3.40,Y
2.16.840.1.101.3.4.3.24,Y
2.16.840.1.101.3.4.3.39,Y
2.16.840.1.101.3.4.3.27,Y
2.16.840.1.101.3.4.3.42,Y
2.16.840.1.101.3.4.3.26,Y
2.16.840.1.101.3.4.3.41,Y
2.16.840.1.101.3.4.3.29,Y
2.16.840.1.101.3.4.3.44,Y
2.16.840.1.101.3.4.3.28,Y
2.16.840.1.101.3.4.3.43,Y
2.16.840.1.101.3.4.3.31,Y
2.16.840.1.101.3.4.3.46,Y
2.16.840.1.101.3.4.3.30,Y
2.16.840.1.101.3.4.3.45,Y
2.16.840.1.101.3.4.4.3,Y
2.16.840.1.101.3.4.4.1,Y
2.16.840.1.101.3.4.4.2,Y
1.3.6.1.4.1.22554.5.5.2,
1.3.6.1.4.1.22554.5.5.3,
1.3.6.1.4.1.22554.5.5.4,
