key_algorithm_oid,type,test_result
2.16.840.1.114027.80.5.2.70,priv,Y
2.16.840.1.114027.80.5.2.70,consistent,Y
2.16.840.1.114027.80.5.2.70,cert,Y
2.16.840.1.114027.80.5.2.73,priv,Y
2.16.840.1.114027.80.5.2.73,consistent,Y
2.16.840.1.114027.80.5.2.73,cert,Y
2.16.840.1.114027.80.5.2.71,priv,Y
2.16.840.1.114027.80.5.2.71,consistent,Y
2.16.840.1.114027.80.5.2.71,cert,Y
2.16.840.1.114027.80.5.2.69,priv,Y
2.16.840.1.114027.80.5.2.69,consistent,Y
2.16.840.1.114027.80.5.2.69,cert,Y
2.16.840.1.114027.80.5.2.72,priv,Y
2.16.840.1.114027.80.5.2.72,consistent,Y
2.16.840.1.114027.80.5.2.72,cert,Y
2.16.840.1.114027.80.5.2.66,priv,Y
2.16.840.1.114027.80.5.2.66,consistent,Y
2.16.840.1.114027.80.5.2.66,cert,Y
2.16.840.1.114027.80.5.2.67,priv,Y
2.16.840.1.114027.80.5.2.67,consistent,Y
2.16.840.1.114027.80.5.2.67,cert,Y
2.16.840.1.114027.80.5.2.68,priv,Y
2.16.840.1.114027.80.5.2.68,consistent,Y
2.16.840.1.114027.80.5.2.68,cert,Y
2.16.840.1.114027.80.5.2.62,priv,Y
2.16.840.1.114027.80.5.2.62,consistent,Y
2.16.840.1.114027.80.5.2.62,cert,Y
2.16.840.1.114027.80.5.2.63,priv,Y
2.16.840.1.114027.80.5.2.63,consistent,Y
2.16.840.1.114027.80.5.2.63,cert,Y
2.16.840.1.114027.80.5.2.64,priv,Y
2.16.840.1.114027.80.5.2.64,consistent,Y
2.16.840.1.114027.80.5.2.64,cert,Y
2.16.840.1.114027.80.5.2.65,priv,Y
2.16.840.1.114027.80.5.2.65,consistent,Y
2.16.840.1.114027.80.5.2.65,cert,Y
2.16.840.1.101.3.4.4.3,priv,Y
2.16.840.1.101.3.4.4.3,consistent,Y
2.16.840.1.101.3.4.4.3,cert,Y
2.16.840.1.101.3.4.4.2,priv,Y
2.16.840.1.101.3.4.4.2,consistent,Y
2.16.840.1.101.3.4.4.2,cert,Y
