key_algorithm_oid,test_result
2.16.840.1.101.3.4.3.17,Y
2.16.840.1.101.3.4.3.18,Y
2.16.840.1.101.3.4.3.19,Y
2.16.840.1.101.3.4.3.20,N
2.16.840.1.101.3.4.3.21,N
2.16.840.1.101.3.4.3.22,N
2.16.840.1.101.3.4.3.23,N
2.16.840.1.101.3.4.3.24,N
2.16.840.1.101.3.4.3.25,N
2.16.840.1.101.3.4.3.26,N
2.16.840.1.101.3.4.3.27,N
2.16.840.1.101.3.4.3.28,N
2.16.840.1.101.3.4.3.29,N
2.16.840.1.101.3.4.3.30,N
2.16.840.1.101.3.4.3.31,N
2.16.840.1.101.3.4.3.32,N
2.16.840.1.101.3.4.3.33,N
2.16.840.1.101.3.4.3.34,N
2.16.840.1.101.3.4.3.35,N
2.16.840.1.101.3.4.3.36,N
2.16.840.1.101.3.4.3.37,N
2.16.840.1.101.3.4.3.38,N
2.16.840.1.101.3.4.3.39,N
2.16.840.1.101.3.4.3.40,N
2.16.840.1.101.3.4.3.41,N
2.16.840.1.101.3.4.3.42,N
2.16.840.1.101.3.4.3.43,N
2.16.840.1.101.3.4.3.44,N
2.16.840.1.101.3.4.3.45,N
2.16.840.1.101.3.4.3.46,N
2.16.840.1.114027.80.8.1.21,Y
2.16.840.1.114027.80.8.1.22,Y
2.16.840.1.114027.80.8.1.23,N
2.16.840.1.114027.80.8.1.24,Y
2.16.840.1.114027.80.8.1.26,Y
2.16.840.1.114027.80.8.1.27,Y
2.16.840.1.114027.80.8.1.28,Y
2.16.840.1.114027.80.8.1.29,N
2.16.840.1.114027.80.8.1.30,N
2.16.840.1.114027.80.8.1.31,Y
2.16.840.1.114027.80.8.1.32,N
2.16.840.1.114027.80.8.1.33,N
2.16.840.1.114027.80.8.1.34,Y
2.16.840.1.114027.80.8.1.35,Y
2.16.840.1.114027.80.8.1.40,N
2.16.840.1.114027.80.8.1.41,N
2.16.840.1.114027.80.8.1.42,N
2.16.840.1.114027.80.8.1.43,N
2.16.840.1.114027.80.8.1.44,N
2.16.840.1.114027.80.8.1.45,N
2.16.840.1.114027.80.8.1.46,N
2.16.840.1.114027.80.8.1.47,N
2.16.840.1.114027.80.8.1.48,N
2.16.840.1.114027.80.8.1.49,N
2.16.840.1.114027.80.8.1.50,N
2.16.840.1.114027.80.8.1.51,N
2.16.840.1.114027.80.8.1.52,N
2.16.840.1.114027.80.8.1.53,N
