key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.17,consistent,Y
2.16.840.1.101.3.4.3.17,expandedkey,Y
2.16.840.1.101.3.4.3.17,seed,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.18,consistent,Y
2.16.840.1.101.3.4.3.18,expandedkey,Y
2.16.840.1.101.3.4.3.18,seed,Y
2.16.840.1.101.3.4.3.19,both,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.19,consistent,Y
2.16.840.1.101.3.4.3.19,expandedkey,Y
2.16.840.1.101.3.4.3.19,seed,Y
2.16.840.1.101.3.4.3.20,cert,Y
2.16.840.1.101.3.4.3.20,consistent,Y
2.16.840.1.101.3.4.3.20,priv,Y
2.16.840.1.101.3.4.3.21,cert,Y
2.16.840.1.101.3.4.3.21,consistent,Y
2.16.840.1.101.3.4.3.21,priv,Y
2.16.840.1.101.3.4.3.22,cert,Y
2.16.840.1.101.3.4.3.22,consistent,Y
2.16.840.1.101.3.4.3.22,priv,Y
2.16.840.1.101.3.4.3.23,cert,Y
2.16.840.1.101.3.4.3.23,consistent,Y
2.16.840.1.101.3.4.3.23,priv,Y
2.16.840.1.101.3.4.3.24,cert,Y
2.16.840.1.101.3.4.3.24,consistent,Y
2.16.840.1.101.3.4.3.24,priv,Y
2.16.840.1.101.3.4.3.25,cert,Y
2.16.840.1.101.3.4.3.25,consistent,Y
2.16.840.1.101.3.4.3.25,priv,Y
2.16.840.1.101.3.4.3.26,cert,Y
2.16.840.1.101.3.4.3.26,consistent,Y
2.16.840.1.101.3.4.3.26,priv,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.27,consistent,Y
2.16.840.1.101.3.4.3.27,priv,Y
2.16.840.1.101.3.4.3.28,cert,Y
2.16.840.1.101.3.4.3.28,consistent,Y
2.16.840.1.101.3.4.3.28,priv,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.29,consistent,Y
2.16.840.1.101.3.4.3.29,priv,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.30,consistent,Y
2.16.840.1.101.3.4.3.30,priv,Y
2.16.840.1.101.3.4.3.31,cert,Y
2.16.840.1.101.3.4.3.31,consistent,Y
2.16.840.1.101.3.4.3.31,priv,Y
2.16.840.1.114027.80.9.1.0,both,N
2.16.840.1.114027.80.9.1.0,cert,N
2.16.840.1.114027.80.9.1.0,expandedkey,N
2.16.840.1.114027.80.9.1.0,seed,N
2.16.840.1.114027.80.9.1.1,both,N
2.16.840.1.114027.80.9.1.1,cert,N
2.16.840.1.114027.80.9.1.1,expandedkey,N
2.16.840.1.114027.80.9.1.1,seed,N
2.16.840.1.114027.80.9.1.11,both,N
2.16.840.1.114027.80.9.1.11,cert,N
2.16.840.1.114027.80.9.1.11,expandedkey,N
2.16.840.1.114027.80.9.1.11,seed,N
2.16.840.1.114027.80.9.1.12,both,N
2.16.840.1.114027.80.9.1.12,cert,N
2.16.840.1.114027.80.9.1.12,expandedkey,N
2.16.840.1.114027.80.9.1.12,seed,N
2.16.840.1.114027.80.9.1.15,both,N
2.16.840.1.114027.80.9.1.15,cert,N
2.16.840.1.114027.80.9.1.15,expandedkey,N
2.16.840.1.114027.80.9.1.15,seed,N
2.16.840.1.114027.80.9.1.16,both,N
2.16.840.1.114027.80.9.1.16,cert,N
2.16.840.1.114027.80.9.1.16,expandedkey,N
2.16.840.1.114027.80.9.1.16,seed,N
2.16.840.1.114027.80.9.1.17,both,N
2.16.840.1.114027.80.9.1.17,cert,N
2.16.840.1.114027.80.9.1.17,expandedkey,N
2.16.840.1.114027.80.9.1.17,seed,N
2.16.840.1.114027.80.9.1.2,both,N
2.16.840.1.114027.80.9.1.2,cert,N
2.16.840.1.114027.80.9.1.2,expandedkey,N
2.16.840.1.114027.80.9.1.2,seed,N
2.16.840.1.114027.80.9.1.3,both,N
2.16.840.1.114027.80.9.1.3,cert,N
2.16.840.1.114027.80.9.1.3,expandedkey,N
2.16.840.1.114027.80.9.1.3,seed,N
2.16.840.1.114027.80.9.1.4,both,N
2.16.840.1.114027.80.9.1.4,cert,N
2.16.840.1.114027.80.9.1.4,expandedkey,N
2.16.840.1.114027.80.9.1.4,seed,N
2.16.840.1.114027.80.9.1.6,both,N
2.16.840.1.114027.80.9.1.6,cert,N
2.16.840.1.114027.80.9.1.6,expandedkey,N
2.16.840.1.114027.80.9.1.6,seed,N
2.16.840.1.114027.80.9.1.7,both,N
2.16.840.1.114027.80.9.1.7,cert,N
2.16.840.1.114027.80.9.1.7,expandedkey,N
2.16.840.1.114027.80.9.1.7,seed,N
2.16.840.1.114027.80.9.1.8,both,N
2.16.840.1.114027.80.9.1.8,cert,N
2.16.840.1.114027.80.9.1.8,expandedkey,N
2.16.840.1.114027.80.9.1.8,seed,N
2.16.840.1.114027.80.9.1.9,both,N
2.16.840.1.114027.80.9.1.9,cert,N
2.16.840.1.114027.80.9.1.9,expandedkey,N
2.16.840.1.114027.80.9.1.9,seed,N
