key_algorithm_oid,type,test_result
1.3.6.1.5.5.7.6.37,cert,Y
1.3.6.1.5.5.7.6.37,consistent,Y
1.3.6.1.5.5.7.6.37,priv,Y
1.3.6.1.5.5.7.6.38,cert,Y
1.3.6.1.5.5.7.6.38,consistent,Y
1.3.6.1.5.5.7.6.38,priv,Y
1.3.6.1.5.5.7.6.39,cert,Y
1.3.6.1.5.5.7.6.39,consistent,Y
1.3.6.1.5.5.7.6.39,priv,Y
1.3.6.1.5.5.7.6.40,cert,Y
1.3.6.1.5.5.7.6.40,consistent,Y
1.3.6.1.5.5.7.6.40,priv,Y
1.3.6.1.5.5.7.6.41,cert,Y
1.3.6.1.5.5.7.6.41,consistent,Y
1.3.6.1.5.5.7.6.41,priv,Y
1.3.6.1.5.5.7.6.42,cert,Y
1.3.6.1.5.5.7.6.42,consistent,Y
1.3.6.1.5.5.7.6.42,priv,Y
1.3.6.1.5.5.7.6.43,cert,Y
1.3.6.1.5.5.7.6.43,consistent,Y
1.3.6.1.5.5.7.6.43,priv,Y
1.3.6.1.5.5.7.6.44,cert,Y
1.3.6.1.5.5.7.6.44,consistent,Y
1.3.6.1.5.5.7.6.44,priv,Y
1.3.6.1.5.5.7.6.45,cert,Y
1.3.6.1.5.5.7.6.45,consistent,Y
1.3.6.1.5.5.7.6.45,priv,Y
1.3.6.1.5.5.7.6.46,cert,Y
1.3.6.1.5.5.7.6.46,consistent,Y
1.3.6.1.5.5.7.6.46,priv,Y
1.3.6.1.5.5.7.6.47,cert,N
1.3.6.1.5.5.7.6.47,priv,N
1.3.6.1.5.5.7.6.48,cert,Y
1.3.6.1.5.5.7.6.48,consistent,Y
1.3.6.1.5.5.7.6.48,priv,Y
1.3.6.1.5.5.7.6.49,cert,Y
1.3.6.1.5.5.7.6.49,consistent,Y
1.3.6.1.5.5.7.6.49,priv,Y
1.3.6.1.5.5.7.6.50,cert,N
1.3.6.1.5.5.7.6.50,priv,N
1.3.6.1.5.5.7.6.51,cert,N
1.3.6.1.5.5.7.6.51,priv,N
1.3.6.1.5.5.7.6.52,cert,Y
1.3.6.1.5.5.7.6.52,consistent,Y
1.3.6.1.5.5.7.6.52,priv,Y
1.3.6.1.5.5.7.6.53,cert,Y
1.3.6.1.5.5.7.6.53,consistent,Y
1.3.6.1.5.5.7.6.53,priv,Y
1.3.6.1.5.5.7.6.54,cert,Y
1.3.6.1.5.5.7.6.54,consistent,Y
1.3.6.1.5.5.7.6.54,priv,Y
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.19,cert,Y
