key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.17,both,N
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.17,expandedkey,N
2.16.840.1.101.3.4.3.17,seed,N
2.16.840.1.101.3.4.3.18,both,N
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.18,expandedkey,N
2.16.840.1.101.3.4.3.18,seed,N
2.16.840.1.101.3.4.3.19,both,N
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.19,expandedkey,N
2.16.840.1.101.3.4.3.19,seed,N
2.16.840.1.101.3.4.3.20,both,Y
2.16.840.1.101.3.4.3.20,cert,Y
2.16.840.1.101.3.4.3.20,consistent,Y
2.16.840.1.101.3.4.3.20,expandedkey,Y
2.16.840.1.101.3.4.3.20,seed,Y
2.16.840.1.101.3.4.3.21,both,Y
2.16.840.1.101.3.4.3.21,cert,Y
2.16.840.1.101.3.4.3.21,consistent,Y
2.16.840.1.101.3.4.3.21,expandedkey,Y
2.16.840.1.101.3.4.3.21,seed,Y
2.16.840.1.101.3.4.3.22,both,Y
2.16.840.1.101.3.4.3.22,cert,Y
2.16.840.1.101.3.4.3.22,consistent,Y
2.16.840.1.101.3.4.3.22,expandedkey,Y
2.16.840.1.101.3.4.3.22,seed,Y
2.16.840.1.101.3.4.3.23,both,Y
2.16.840.1.101.3.4.3.23,cert,Y
2.16.840.1.101.3.4.3.23,consistent,Y
2.16.840.1.101.3.4.3.23,expandedkey,Y
2.16.840.1.101.3.4.3.23,seed,Y
2.16.840.1.101.3.4.3.24,both,Y
2.16.840.1.101.3.4.3.24,cert,Y
2.16.840.1.101.3.4.3.24,consistent,Y
2.16.840.1.101.3.4.3.24,expandedkey,Y
2.16.840.1.101.3.4.3.24,seed,Y
2.16.840.1.101.3.4.3.25,both,Y
2.16.840.1.101.3.4.3.25,cert,Y
2.16.840.1.101.3.4.3.25,consistent,Y
2.16.840.1.101.3.4.3.25,expandedkey,Y
2.16.840.1.101.3.4.3.25,seed,Y
2.16.840.1.101.3.4.3.26,both,Y
2.16.840.1.101.3.4.3.26,cert,Y
2.16.840.1.101.3.4.3.26,consistent,Y
2.16.840.1.101.3.4.3.26,expandedkey,Y
2.16.840.1.101.3.4.3.26,seed,Y
2.16.840.1.101.3.4.3.27,both,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.27,consistent,Y
2.16.840.1.101.3.4.3.27,expandedkey,Y
2.16.840.1.101.3.4.3.27,seed,Y
2.16.840.1.101.3.4.3.28,both,Y
2.16.840.1.101.3.4.3.28,cert,Y
2.16.840.1.101.3.4.3.28,consistent,Y
2.16.840.1.101.3.4.3.28,expandedkey,Y
2.16.840.1.101.3.4.3.28,seed,Y
2.16.840.1.101.3.4.3.29,both,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.29,consistent,Y
2.16.840.1.101.3.4.3.29,expandedkey,Y
2.16.840.1.101.3.4.3.29,seed,Y
2.16.840.1.101.3.4.3.30,both,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.30,consistent,Y
