key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.4.2,cert,N
2.16.840.1.101.3.4.4.2,priv,Y
2.16.840.1.101.3.4.4.2,consistent,Y
2.16.840.1.101.3.4.4.3,cert,N
2.16.840.1.101.3.4.4.3,priv,Y
2.16.840.1.101.3.4.4.3,consistent,Y
1.3.6.1.5.5.7.6.55,cert,N
1.3.6.1.5.5.7.6.55,priv,N
1.3.6.1.5.5.7.6.55,consistent,Y
1.3.6.1.5.5.7.6.56,cert,N
1.3.6.1.5.5.7.6.56,priv,N
1.3.6.1.5.5.7.6.56,consistent,Y
1.3.6.1.5.5.7.6.57,cert,N
1.3.6.1.5.5.7.6.57,priv,N
1.3.6.1.5.5.7.6.57,consistent,Y
1.3.6.1.5.5.7.6.58,cert,N
1.3.6.1.5.5.7.6.58,priv,N
1.3.6.1.5.5.7.6.58,consistent,Y
1.3.6.1.5.5.7.6.59,cert,N
1.3.6.1.5.5.7.6.59,priv,N
1.3.6.1.5.5.7.6.59,consistent,Y
1.3.6.1.5.5.7.6.60,cert,N
1.3.6.1.5.5.7.6.60,priv,N
1.3.6.1.5.5.7.6.60,consistent,Y
1.3.6.1.5.5.7.6.61,cert,N
1.3.6.1.5.5.7.6.61,priv,N
1.3.6.1.5.5.7.6.61,consistent,Y
1.3.6.1.5.5.7.6.62,cert,N
1.3.6.1.5.5.7.6.62,priv,N
1.3.6.1.5.5.7.6.62,consistent,Y
1.3.6.1.5.5.7.6.63,cert,N
1.3.6.1.5.5.7.6.63,priv,N
1.3.6.1.5.5.7.6.63,consistent,Y
1.3.6.1.5.5.7.6.64,cert,N
1.3.6.1.5.5.7.6.64,priv,N
1.3.6.1.5.5.7.6.64,consistent,Y
1.3.6.1.5.5.7.6.65,cert,N
1.3.6.1.5.5.7.6.65,priv,N
1.3.6.1.5.5.7.6.65,consistent,Y
1.3.6.1.5.5.7.6.66,cert,N
1.3.6.1.5.5.7.6.66,priv,N
1.3.6.1.5.5.7.6.66,consistent,Y
