key_algorithm_oid,type,test_result
2.16.840.1.114027.80.8.1.35,cert,N
2.16.840.1.114027.80.8.1.35,seed,N
2.16.840.1.114027.80.8.1.35,expandedkey,N
2.16.840.1.114027.80.8.1.35,both,N
2.16.840.1.114027.80.8.1.35,consistent,Y
2.16.840.1.114027.80.8.1.26,cert,N
2.16.840.1.114027.80.8.1.26,seed,N
2.16.840.1.114027.80.8.1.26,expandedkey,N
2.16.840.1.114027.80.8.1.26,both,N
2.16.840.1.114027.80.8.1.26,consistent,Y
2.16.840.1.114027.80.8.1.43,cert,N
2.16.840.1.114027.80.8.1.43,seed,N
2.16.840.1.114027.80.8.1.43,expandedkey,N
2.16.840.1.114027.80.8.1.43,both,N
2.16.840.1.114027.80.8.1.43,consistent,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.18,seed,Y
2.16.840.1.101.3.4.3.18,expandedkey,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.18,consistent,Y
2.16.840.1.101.3.4.3.34,cert,N
2.16.840.1.101.3.4.3.34,seed,N
2.16.840.1.101.3.4.3.34,expandedkey,N
2.16.840.1.101.3.4.3.34,both,N
2.16.840.1.101.3.4.3.34,consistent,Y
2.16.840.1.114027.80.8.1.44,cert,N
2.16.840.1.114027.80.8.1.44,seed,N
2.16.840.1.114027.80.8.1.44,expandedkey,N
2.16.840.1.114027.80.8.1.44,both,N
2.16.840.1.114027.80.8.1.44,consistent,Y
2.16.840.1.114027.80.8.1.21,cert,N
2.16.840.1.114027.80.8.1.21,seed,N
2.16.840.1.114027.80.8.1.21,expandedkey,N
2.16.840.1.114027.80.8.1.21,both,N
2.16.840.1.114027.80.8.1.21,consistent,Y
2.16.840.1.114027.80.8.1.51,cert,N
2.16.840.1.114027.80.8.1.51,seed,N
2.16.840.1.114027.80.8.1.51,expandedkey,N
2.16.840.1.114027.80.8.1.51,both,N
2.16.840.1.114027.80.8.1.51,consistent,Y
2.16.840.1.114027.80.8.1.40,cert,N
