"key_algorithm_oid","ta","ca","ee","crl_ta","crl_ca"
"1.2.840.10045.2.1","Y","Y","Y","Y","Y"
"1.3.6.1.4.1.2.267.11.4.4","Y","Y","Y","Y","Y"
"1.3.6.1.4.1.2.267.11.6.5","Y","Y","Y","Y","Y"
"1.3.6.1.4.1.2.267.11.8.7","Y","Y","Y","Y","Y"
"1.3.6.1.4.1.2.267.7.4.4","Y","Y","Y","Y","Y"
"1.3.6.1.4.1.2.267.7.6.5","Y","Y","Y","Y","Y"
"1.3.6.1.4.1.2.267.7.8.7","Y","Y","Y","Y","Y"
"1.3.9999.3.1","Y","Y","Y","Y","Y"
"1.3.9999.3.4","Y","Y","Y","Y","Y"
"1.3.9999.6.4.1","Y","Y","Y","Y","Y"
"1.3.9999.6.4.10","Y","Y","Y","Y","Y"
"1.3.9999.6.4.4","Y","Y","Y","Y","Y"
"1.3.9999.6.4.7","Y","Y","Y","Y","Y"
"1.3.9999.6.5.1","Y","Y","Y","Y","Y"
"1.3.9999.6.5.3","Y","Y","Y","Y","Y"
"1.3.9999.6.5.5","Y","Y","Y","Y","Y"
"1.3.9999.6.5.7","Y","Y","Y","Y","Y"
"1.3.9999.6.6.1","Y","Y","Y","Y","Y"
"1.3.9999.6.6.3","Y","Y","Y","Y","Y"
"1.3.9999.6.6.5","Y","Y","Y","Y","Y"
"1.3.9999.6.6.7","Y","Y","Y","Y","Y"
"2.16.840.1.114027.80.4.1","Y","Y","Y","Y","Y"
"2.16.840.1.114027.80.5.1","Y","Y","Y","Y","Y"
"hybrid-catalyst","Y","N","N","Y","N"
