key_algorithm_oid,test_result
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.17,consistent,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.18,consistent,Y
2.16.840.1.101.3.4.3.19,both,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.19,consistent,Y
2.16.840.1.101.3.4.4.1,both,Y
2.16.840.1.101.3.4.4.1,cert,Y
2.16.840.1.101.3.4.4.1,consistent,Y
2.16.840.1.101.3.4.4.2,both,Y
2.16.840.1.101.3.4.4.2,cert,Y
2.16.840.1.101.3.4.4.2,consistent,Y
2.16.840.1.101.3.4.4.3,both,Y
2.16.840.1.101.3.4.4.3,cert,Y
2.16.840.1.101.3.4.4.3,consistent,Y
