key_algorithm_oid,test_result
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.17,both,N
2.16.840.1.101.3.4.3.17,expandedkey,N
2.16.840.1.101.3.4.3.17,seed,N
2.16.840.1.101.3.4.3.18,both,N
2.16.840.1.101.3.4.3.18,expandedkey,N
2.16.840.1.101.3.4.3.18,seed,N
2.16.840.1.101.3.4.3.19,both,N
2.16.840.1.101.3.4.3.19,expandedkey,N
2.16.840.1.101.3.4.3.19,seed,N
2.16.840.1.101.3.4.4.1,cert,N
2.16.840.1.101.3.4.4.2,cert,N
2.16.840.1.101.3.4.4.3,cert,N
