key_algorithm_oid,type,test_result
1.3.6.1.5.5.7.6.37,cert,Y
1.3.6.1.5.5.7.6.37,priv,N
1.3.6.1.5.5.7.6.38,cert,Y
1.3.6.1.5.5.7.6.38,priv,N
1.3.6.1.5.5.7.6.39,cert,N
1.3.6.1.5.5.7.6.39,priv,N
1.3.6.1.5.5.7.6.40,cert,Y
1.3.6.1.5.5.7.6.40,priv,N
1.3.6.1.5.5.7.6.41,cert,Y
1.3.6.1.5.5.7.6.41,priv,N
1.3.6.1.5.5.7.6.42,cert,N
1.3.6.1.5.5.7.6.42,priv,N
1.3.6.1.5.5.7.6.43,cert,Y
1.3.6.1.5.5.7.6.43,priv,N
1.3.6.1.5.5.7.6.44,cert,Y
1.3.6.1.5.5.7.6.44,priv,N
1.3.6.1.5.5.7.6.45,cert,Y
1.3.6.1.5.5.7.6.45,priv,N
1.3.6.1.5.5.7.6.46,cert,Y
1.3.6.1.5.5.7.6.46,priv,N
1.3.6.1.5.5.7.6.47,cert,N
1.3.6.1.5.5.7.6.47,priv,N
1.3.6.1.5.5.7.6.48,cert,N
1.3.6.1.5.5.7.6.48,priv,N
1.3.6.1.5.5.7.6.49,cert,Y
1.3.6.1.5.5.7.6.49,priv,N
1.3.6.1.5.5.7.6.50,cert,N
1.3.6.1.5.5.7.6.50,priv,N
1.3.6.1.5.5.7.6.51,cert,N
1.3.6.1.5.5.7.6.51,priv,N
1.3.6.1.5.5.7.6.52,cert,Y
1.3.6.1.5.5.7.6.52,priv,N
1.3.6.1.5.5.7.6.53,cert,Y
1.3.6.1.5.5.7.6.53,priv,N
1.3.6.1.5.5.7.6.54,cert,Y
1.3.6.1.5.5.7.6.54,priv,N
