key_algorithm_oid,type,test_result
ML-DSA-44,jws,Y
ML-DSA-44,cose,Y
ML-DSA-65,jws,Y
ML-DSA-65,cose,Y
ML-DSA-87,jws,Y
ML-DSA-87,cose,Y
SLH-DSA-SHA2-128s,jws,Y
SLH-DSA-SHA2-128s,cose,Y
SLH-DSA-SHAKE-128s,jws,Y
SLH-DSA-SHAKE-128s,cose,Y
ML-DSA-44-ES256,jws,Y
ML-DSA-44-ES256,cose,Y
ML-DSA-65-ES256,jws,Y
ML-DSA-65-ES256,cose,Y
ML-DSA-87-ES384,jws,Y
ML-DSA-87-ES384,cose,Y
ML-DSA-44-Ed25519,jws,Y
ML-DSA-44-Ed25519,cose,Y
ML-DSA-65-Ed25519,jws,Y
ML-DSA-65-Ed25519,cose,Y
ML-DSA-87-Ed448,jws,Y
ML-DSA-87-Ed448,cose,Y
