filename,subject,issuer,algorithm,level,type,codename,pen_oid,provider,notes
sanctum_cygnet_attest_classical_p256_01.der,CYGNET-CLASSICAL-L1-ATTEST | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,ATTEST,CYGNET-CLASSICAL-L1-ATTEST,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_bridge_classical_p256_01.der,CYGNET-CLASSICAL-L1-BRIDGE | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,BRIDGE,CYGNET-CLASSICAL-L1-BRIDGE,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_client_classical_p256_01.der,CYGNET-CLASSICAL-L1-CLI | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,CLI,CYGNET-CLASSICAL-L1-CLI,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_dev_classical_p256_01.der,CYGNET-CLASSICAL-L1-DEV | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,DEV,CYGNET-CLASSICAL-L1-DEV,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_issuingca_classical_p256_01.der,CYGNET-CLASSICAL-L1-ISCA | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,ISCA,CYGNET-CLASSICAL-L1-ISCA,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_ocsp_classical_p256_01.der,CYGNET-CLASSICAL-L1-OCSP | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,OCSP,CYGNET-CLASSICAL-L1-OCSP,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_rootca_classical_p256_01.der,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,ROOT,CYGNET-CLASSICAL-L1-ROOT,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_rootca_classical_rsa2048_01.der,CYGNET-CLASSICAL-RSA-L1-ROOT | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,sha256WithRSAEncryption,RSA,ROOT,CYGNET-CLASSICAL-RSA-L1-ROOT,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_scep_classical_p256_01.der,CYGNET-CLASSICAL-L1-SCEP | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,SCEP,CYGNET-CLASSICAL-L1-SCEP,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_sign_classical_p256_01.der,CYGNET-CLASSICAL-L1-SIGN | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,SIGN,CYGNET-CLASSICAL-L1-SIGN,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_tls_classical_p256_01.der,CYGNET-CLASSICAL-L1-TLS | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,ecdsa-with-SHA256,L1,TLS,CYGNET-CLASSICAL-L1-TLS,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_tls_classical_rsa2048_01.der,CYGNET-CLASSICAL-RSA-L1-TLS | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,sha256WithRSAEncryption,RSA,TLS,CYGNET-CLASSICAL-RSA-L1-TLS,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_attest_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-ATTEST | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,ATTEST,CYGNET-SENTINEL-FN-HI-L4-ATTEST,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_bridge_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-BRIDGE | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,BRIDGE,CYGNET-SENTINEL-FN-HI-L4-BRIDGE,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_client_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-CLI | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,CLI,CYGNET-SENTINEL-FN-HI-L4-CLI,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_issuingca_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-ISCA | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,ISCA,CYGNET-SENTINEL-FN-HI-L4-ISCA,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_ocsp_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-OCSP | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,OCSP,CYGNET-SENTINEL-FN-HI-L4-OCSP,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_rootca_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-ROOT | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,ROOT,CYGNET-SENTINEL-FN-HI-L4-ROOT,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_sign_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-SIGN | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,SIGN,CYGNET-SENTINEL-FN-HI-L4-SIGN,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_tls_fndsa1024-p384_01.der,CYGNET-SENTINEL-FN-HI-L4-TLS | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA1024-ECDSA-P384,FN,TLS,CYGNET-SENTINEL-FN-HI-L4-TLS,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_attest_fndsa512-p256_01.der,CYGNET-SENTINEL-FN-L4-ATTEST | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA512-ECDSA-P256,FN,ATTEST,CYGNET-SENTINEL-FN-L4-ATTEST,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_bridge_fndsa512-p256_01.der,CYGNET-SENTINEL-FN-L4-BRIDGE | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA512-ECDSA-P256,FN,BRIDGE,CYGNET-SENTINEL-FN-L4-BRIDGE,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_client_fndsa512-p256_01.der,CYGNET-SENTINEL-FN-L4-CLI | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA512-ECDSA-P256,FN,CLI,CYGNET-SENTINEL-FN-L4-CLI,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_issuingca_fndsa512-p256_01.der,CYGNET-SENTINEL-FN-L4-ISCA | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA512-ECDSA-P256,FN,ISCA,CYGNET-SENTINEL-FN-L4-ISCA,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_ocsp_fndsa512-p256_01.der,CYGNET-SENTINEL-FN-L4-OCSP | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA512-ECDSA-P256,FN,OCSP,CYGNET-SENTINEL-FN-L4-OCSP,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
sanctum_cygnet_rootca_fndsa512-p256_01.der,CYGNET-SENTINEL-FN-L4-ROOT | Sanctum SecOps LLC,CYGNET-CLASSICAL-L1-ROOT | Sanctum SecOps LLC,id-FNDSA512-ECDSA-P256,FN,ROOT,CYGNET-SENTINEL-FN-L4-ROOT,1.3.6.1.4.1.65953.2.6,Sanctum SecOps LLC,Hardware-bound PIV | PEN 1.3.6.1.4.1.65953
