key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.19,consistent,Y
2.16.840.1.101.3.4.3.20,cert,Y
2.16.840.1.101.3.4.3.20,consistent,Y
2.16.840.1.101.3.4.3.21,cert,Y
2.16.840.1.101.3.4.3.21,consistent,Y
2.16.840.1.101.3.4.3.22,cert,Y
2.16.840.1.101.3.4.3.22,consistent,Y
2.16.840.1.101.3.4.3.23,cert,Y
2.16.840.1.101.3.4.3.23,consistent,Y
2.16.840.1.101.3.4.3.24,cert,Y
2.16.840.1.101.3.4.3.24,consistent,Y
2.16.840.1.101.3.4.3.25,cert,Y
2.16.840.1.101.3.4.3.25,consistent,Y
2.16.840.1.101.3.4.3.26,cert,Y
2.16.840.1.101.3.4.3.26,consistent,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.27,consistent,Y
2.16.840.1.101.3.4.3.28,cert,Y
2.16.840.1.101.3.4.3.28,consistent,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.29,consistent,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.30,consistent,Y
2.16.840.1.101.3.4.3.31,cert,Y
2.16.840.1.101.3.4.3.31,consistent,Y
2.16.840.1.101.3.4.3.32,cert,Y
2.16.840.1.101.3.4.3.32,consistent,Y
2.16.840.1.101.3.4.3.33,cert,Y
2.16.840.1.101.3.4.3.33,consistent,Y
2.16.840.1.101.3.4.3.34,cert,Y
2.16.840.1.101.3.4.3.34,consistent,Y
2.16.840.1.101.3.4.3.35,cert,Y
2.16.840.1.101.3.4.3.35,consistent,Y
2.16.840.1.101.3.4.3.36,cert,Y
2.16.840.1.101.3.4.3.36,consistent,Y
2.16.840.1.101.3.4.3.37,cert,Y
2.16.840.1.101.3.4.3.37,consistent,Y
2.16.840.1.101.3.4.3.38,cert,Y
2.16.840.1.101.3.4.3.38,consistent,Y
2.16.840.1.101.3.4.3.39,cert,Y
2.16.840.1.101.3.4.3.39,consistent,Y
2.16.840.1.101.3.4.3.40,cert,Y
2.16.840.1.101.3.4.3.40,consistent,Y
2.16.840.1.101.3.4.3.41,cert,Y
2.16.840.1.101.3.4.3.41,consistent,Y
2.16.840.1.101.3.4.3.42,cert,Y
2.16.840.1.101.3.4.3.42,consistent,Y
2.16.840.1.101.3.4.3.43,cert,Y
2.16.840.1.101.3.4.3.43,consistent,Y
2.16.840.1.101.3.4.3.44,cert,Y
2.16.840.1.101.3.4.3.44,consistent,Y
2.16.840.1.101.3.4.3.45,cert,Y
2.16.840.1.101.3.4.3.45,consistent,Y
2.16.840.1.101.3.4.3.46,cert,Y
2.16.840.1.101.3.4.3.46,consistent,Y
1.3.6.1.5.5.7.6.37,cert,Y
1.3.6.1.5.5.7.6.37,consistent,Y
1.3.6.1.5.5.7.6.38,cert,Y
1.3.6.1.5.5.7.6.38,consistent,Y
1.3.6.1.5.5.7.6.39,cert,Y
1.3.6.1.5.5.7.6.39,consistent,Y
1.3.6.1.5.5.7.6.40,cert,Y
1.3.6.1.5.5.7.6.40,consistent,Y
1.3.6.1.5.5.7.6.41,cert,Y
1.3.6.1.5.5.7.6.41,consistent,Y
1.3.6.1.5.5.7.6.42,cert,Y
1.3.6.1.5.5.7.6.42,consistent,Y
1.3.6.1.5.5.7.6.43,cert,Y
1.3.6.1.5.5.7.6.43,consistent,Y
1.3.6.1.5.5.7.6.44,cert,Y
1.3.6.1.5.5.7.6.44,consistent,Y
1.3.6.1.5.5.7.6.45,cert,Y
1.3.6.1.5.5.7.6.45,consistent,Y
1.3.6.1.5.5.7.6.46,cert,Y
1.3.6.1.5.5.7.6.46,consistent,Y
1.3.6.1.5.5.7.6.47,cert,Y
1.3.6.1.5.5.7.6.47,consistent,Y
1.3.6.1.5.5.7.6.48,cert,Y
1.3.6.1.5.5.7.6.48,consistent,Y
1.3.6.1.5.5.7.6.49,cert,Y
1.3.6.1.5.5.7.6.49,consistent,Y
1.3.6.1.5.5.7.6.50,cert,Y
1.3.6.1.5.5.7.6.50,consistent,Y
1.3.6.1.5.5.7.6.51,cert,Y
1.3.6.1.5.5.7.6.51,consistent,Y
1.3.6.1.5.5.7.6.52,cert,Y
1.3.6.1.5.5.7.6.52,consistent,Y
1.3.6.1.5.5.7.6.53,cert,Y
1.3.6.1.5.5.7.6.53,consistent,Y
1.3.6.1.5.5.7.6.54,cert,Y
1.3.6.1.5.5.7.6.54,consistent,Y
1.3.6.1.5.5.7.6.55,cert,Y
1.3.6.1.5.5.7.6.55,consistent,Y
1.3.6.1.5.5.7.6.56,cert,Y
1.3.6.1.5.5.7.6.56,consistent,Y
1.3.6.1.5.5.7.6.57,cert,Y
1.3.6.1.5.5.7.6.57,consistent,Y
1.3.6.1.5.5.7.6.58,cert,Y
1.3.6.1.5.5.7.6.58,consistent,Y
1.3.6.1.5.5.7.6.59,cert,Y
1.3.6.1.5.5.7.6.59,consistent,Y
1.3.6.1.5.5.7.6.60,cert,Y
1.3.6.1.5.5.7.6.60,consistent,Y
1.3.6.1.5.5.7.6.61,cert,Y
1.3.6.1.5.5.7.6.61,consistent,Y
1.3.6.1.5.5.7.6.62,cert,Y
1.3.6.1.5.5.7.6.62,consistent,Y
1.3.6.1.5.5.7.6.63,cert,Y
1.3.6.1.5.5.7.6.63,consistent,Y
1.3.6.1.5.5.7.6.64,cert,Y
1.3.6.1.5.5.7.6.64,consistent,Y
1.3.6.1.5.5.7.6.65,cert,Y
1.3.6.1.5.5.7.6.65,consistent,Y
1.3.6.1.5.5.7.6.66,cert,Y
1.3.6.1.5.5.7.6.66,consistent,Y
1.3.9999,cert,Y
1.3.9999,consistent,Y
1.3.9999.3.9,cert,Y
1.3.9999.3.9,consistent,Y
1.0.18033.2.2.6.1,cert,Y
1.0.18033.2.2.6.1,consistent,Y
1.0.18033.2.2.6.2,cert,Y
1.0.18033.2.2.6.2,consistent,Y
1.0.18033.2.2.6.3,cert,Y
1.0.18033.2.2.6.3,consistent,Y
1.0.18033.2.2.6.4,cert,Y
1.0.18033.2.2.6.4,consistent,Y
1.0.18033.2.2.6.5,cert,Y
1.0.18033.2.2.6.5,consistent,Y
1.0.18033.2.2.6.6,cert,Y
1.0.18033.2.2.6.6,consistent,Y
1.0.18033.2.2.6.7,cert,Y
1.0.18033.2.2.6.7,consistent,Y
1.0.18033.2.2.6.8,cert,Y
1.0.18033.2.2.6.8,consistent,Y
1.0.18033.2.2.6.9,cert,Y
1.0.18033.2.2.6.9,consistent,Y
1.0.18033.2.2.6.10,cert,Y
1.0.18033.2.2.6.10,consistent,Y
1.0.18033.2.2.6.11,cert,Y
1.0.18033.2.2.6.11,consistent,Y
1.0.18033.2.2.6.12,cert,Y
1.0.18033.2.2.6.12,consistent,Y
1.0.18033.2.2.6.13,cert,Y
1.0.18033.2.2.6.13,consistent,Y
1.0.18033.2.2.6.14,cert,Y
1.0.18033.2.2.6.14,consistent,Y
1.0.18033.2.2.6.15,cert,Y
1.0.18033.2.2.6.15,consistent,Y
1.0.18033.2.2.6.16,cert,Y
1.0.18033.2.2.6.16,consistent,Y
1.0.18033.2.2.7.1,cert,Y
1.0.18033.2.2.7.1,consistent,Y
1.0.18033.2.2.7.2,cert,Y
1.0.18033.2.2.7.2,consistent,Y
1.0.18033.2.2.7.3,cert,Y
1.0.18033.2.2.7.3,consistent,Y
1.0.18033.2.2.7.4,cert,Y
1.0.18033.2.2.7.4,consistent,Y
1.0.18033.2.2.7.5,cert,Y
1.0.18033.2.2.7.5,consistent,Y
1.0.18033.2.2.7.6,cert,Y
1.0.18033.2.2.7.6,consistent,Y
1.0.18033.2.2.7.7,cert,Y
1.0.18033.2.2.7.7,consistent,Y
1.0.18033.2.2.7.8,cert,Y
1.0.18033.2.2.7.8,consistent,Y
2.16.840.1.101.3.4.4.1,cert,Y
2.16.840.1.101.3.4.4.1,consistent,Y
2.16.840.1.101.3.4.4.2,cert,Y
2.16.840.1.101.3.4.4.2,consistent,Y
2.16.840.1.101.3.4.4.3,cert,Y
2.16.840.1.101.3.4.4.3,consistent,Y
1.3.6.1.4.1.22554.5.5.1,cert,Y
1.3.6.1.4.1.22554.5.5.1,consistent,Y
1.3.6.1.4.1.22554.5.5.2,cert,Y
1.3.6.1.4.1.22554.5.5.2,consistent,Y
1.3.6.1.4.1.22554.5.5.3,cert,Y
1.3.6.1.4.1.22554.5.5.3,consistent,Y
1.3.6.1.4.1.22554.5.5.4,cert,Y
1.3.6.1.4.1.22554.5.5.4,consistent,Y
1.3.6.1.4.1.22554.5.5.5,cert,Y
1.3.6.1.4.1.22554.5.5.5,consistent,Y
1.3.6.1.4.1.22554.5.5.6,cert,Y
1.3.6.1.4.1.22554.5.5.6,consistent,Y
