oid	kind	attestation_source	status
2.16.840.1.101.3.4.3.19	sig	software	ok
1.0.18033.2.2.6.1	kem	software	ok
1.0.18033.2.2.6.10	kem	software	ok
1.0.18033.2.2.6.11	kem	software	ok
1.0.18033.2.2.6.12	kem	software	ok
1.0.18033.2.2.6.13	kem	software	ok
1.0.18033.2.2.6.14	kem	software	ok
1.0.18033.2.2.6.15	kem	software	ok
1.0.18033.2.2.6.16	kem	software	ok
1.0.18033.2.2.6.2	kem	software	ok
1.0.18033.2.2.6.3	kem	software	ok
1.0.18033.2.2.6.4	kem	software	ok
1.0.18033.2.2.6.5	kem	software	ok
1.0.18033.2.2.6.6	kem	software	ok
1.0.18033.2.2.6.7	kem	software	ok
1.0.18033.2.2.6.8	kem	software	ok
1.0.18033.2.2.6.9	kem	software	ok
1.0.18033.2.2.7.1	kem	software	ok
1.0.18033.2.2.7.2	kem	software	ok
1.0.18033.2.2.7.3	kem	software	ok
1.0.18033.2.2.7.4	kem	software	ok
1.0.18033.2.2.7.5	kem	software	ok
1.0.18033.2.2.7.6	kem	software	ok
1.0.18033.2.2.7.7	kem	software	ok
1.0.18033.2.2.7.8	kem	software	ok
1.3.6.1.4.1.22554.5.5.1	kem	software	ok
1.3.6.1.4.1.22554.5.5.2	kem	software	ok
1.3.6.1.4.1.22554.5.5.3	kem	software	ok
1.3.6.1.4.1.22554.5.5.4	kem	software	ok
1.3.6.1.4.1.22554.5.5.5	kem	software	ok
1.3.6.1.4.1.22554.5.5.6	kem	software	ok
1.3.6.1.5.5.7.6.37	sig	software	ok
1.3.6.1.5.5.7.6.38	sig	software	ok
1.3.6.1.5.5.7.6.39	sig	software	ok
1.3.6.1.5.5.7.6.40	sig	software	ok
1.3.6.1.5.5.7.6.41	sig	software	ok
1.3.6.1.5.5.7.6.42	sig	software	ok
1.3.6.1.5.5.7.6.43	sig	software	ok
1.3.6.1.5.5.7.6.44	sig	software	ok
1.3.6.1.5.5.7.6.45	sig	software	ok
1.3.6.1.5.5.7.6.46	sig	software	ok
1.3.6.1.5.5.7.6.47	sig	software	ok
1.3.6.1.5.5.7.6.48	sig	software	ok
1.3.6.1.5.5.7.6.49	sig	software	ok
1.3.6.1.5.5.7.6.50	sig	software	ok
1.3.6.1.5.5.7.6.51	sig	software	ok
1.3.6.1.5.5.7.6.52	sig	software	ok
1.3.6.1.5.5.7.6.53	sig	software	ok
1.3.6.1.5.5.7.6.54	sig	software	ok
1.3.6.1.5.5.7.6.55	sig	software	ok
1.3.6.1.5.5.7.6.56	sig	software	ok
1.3.6.1.5.5.7.6.57	sig	software	ok
1.3.6.1.5.5.7.6.58	sig	software	ok
1.3.6.1.5.5.7.6.59	sig	software	ok
1.3.6.1.5.5.7.6.60	sig	software	ok
1.3.6.1.5.5.7.6.61	sig	software	ok
1.3.6.1.5.5.7.6.62	sig	software	ok
1.3.6.1.5.5.7.6.63	sig	software	ok
1.3.6.1.5.5.7.6.64	sig	software	ok
1.3.6.1.5.5.7.6.65	sig	software	ok
1.3.6.1.5.5.7.6.66	sig	software	ok
1.3.9999	sig	software	ok
2.16.840.1.101.3.4.3.20	sig	software	ok
2.16.840.1.101.3.4.3.21	sig	software	ok
2.16.840.1.101.3.4.3.22	sig	software	ok
2.16.840.1.101.3.4.3.23	sig	software	ok
2.16.840.1.101.3.4.3.24	sig	software	ok
2.16.840.1.101.3.4.3.25	sig	software	ok
2.16.840.1.101.3.4.3.26	sig	software	ok
2.16.840.1.101.3.4.3.27	sig	software	ok
2.16.840.1.101.3.4.3.28	sig	software	ok
2.16.840.1.101.3.4.3.29	sig	software	ok
2.16.840.1.101.3.4.3.30	sig	software	ok
2.16.840.1.101.3.4.3.31	sig	software	ok
2.16.840.1.101.3.4.3.32	sig	software	ok
2.16.840.1.101.3.4.3.33	sig	software	ok
2.16.840.1.101.3.4.3.34	sig	software	ok
2.16.840.1.101.3.4.3.35	sig	software	ok
2.16.840.1.101.3.4.3.36	sig	software	ok
2.16.840.1.101.3.4.3.37	sig	software	ok
2.16.840.1.101.3.4.3.38	sig	software	ok
2.16.840.1.101.3.4.3.39	sig	software	ok
2.16.840.1.101.3.4.3.40	sig	software	ok
2.16.840.1.101.3.4.3.41	sig	software	ok
2.16.840.1.101.3.4.3.42	sig	software	ok
2.16.840.1.101.3.4.3.43	sig	software	ok
2.16.840.1.101.3.4.3.44	sig	software	ok
2.16.840.1.101.3.4.3.45	sig	software	ok
2.16.840.1.101.3.4.3.46	sig	software	ok
2.16.840.1.101.3.4.4.1	kem	software	ok
2.16.840.1.101.3.4.4.2	kem	software	ok
2.16.840.1.101.3.4.4.3	kem	software	ok
1.3.6.1.4.1.65953.1.1.1	sig	software	ok
1.3.6.1.4.1.65953.1.2.1	kem	software	ok
1.3.6.1.4.1.65953.1.100.1	sig	software	ok
