oid	kind	tier	algorithm	cert	verify
2.16.840.1.101.3.4.3.19	sig	real-pqc	ML-DSA-87	ee_2_16_840_1_101_3_4_3_19.crt	OK
1.0.18033.2.2.6.1	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_1.crt	OK
1.0.18033.2.2.6.10	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_10.crt	OK
1.0.18033.2.2.6.11	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_11.crt	OK
1.0.18033.2.2.6.12	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_12.crt	OK
1.0.18033.2.2.6.13	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_13.crt	OK
1.0.18033.2.2.6.14	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_14.crt	OK
1.0.18033.2.2.6.15	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_15.crt	OK
1.0.18033.2.2.6.16	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_16.crt	OK
1.0.18033.2.2.6.2	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_2.crt	OK
1.0.18033.2.2.6.3	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_3.crt	OK
1.0.18033.2.2.6.4	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_4.crt	OK
1.0.18033.2.2.6.5	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_5.crt	OK
1.0.18033.2.2.6.6	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_6.crt	OK
1.0.18033.2.2.6.7	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_7.crt	OK
1.0.18033.2.2.6.8	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_8.crt	OK
1.0.18033.2.2.6.9	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_6_9.crt	OK
1.0.18033.2.2.7.1	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_1.crt	OK
1.0.18033.2.2.7.2	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_2.crt	OK
1.0.18033.2.2.7.3	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_3.crt	OK
1.0.18033.2.2.7.4	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_4.crt	OK
1.0.18033.2.2.7.5	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_5.crt	OK
1.0.18033.2.2.7.6	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_6.crt	OK
1.0.18033.2.2.7.7	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_7.crt	OK
1.0.18033.2.2.7.8	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_0_18033_2_2_7_8.crt	OK
1.3.6.1.4.1.22554.5.5.1	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_4_1_22554_5_5_1.crt	OK
1.3.6.1.4.1.22554.5.5.2	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_4_1_22554_5_5_2.crt	OK
1.3.6.1.4.1.22554.5.5.3	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_4_1_22554_5_5_3.crt	OK
1.3.6.1.4.1.22554.5.5.4	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_4_1_22554_5_5_4.crt	OK
1.3.6.1.4.1.22554.5.5.5	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_4_1_22554_5_5_5.crt	OK
1.3.6.1.4.1.22554.5.5.6	kem	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_4_1_22554_5_5_6.crt	OK
1.3.6.1.5.5.7.6.37	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_37.crt	OK
1.3.6.1.5.5.7.6.38	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_38.crt	OK
1.3.6.1.5.5.7.6.39	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_39.crt	OK
1.3.6.1.5.5.7.6.40	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_40.crt	OK
1.3.6.1.5.5.7.6.41	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_41.crt	OK
1.3.6.1.5.5.7.6.42	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_42.crt	OK
1.3.6.1.5.5.7.6.43	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_43.crt	OK
1.3.6.1.5.5.7.6.44	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_44.crt	OK
1.3.6.1.5.5.7.6.45	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_45.crt	OK
1.3.6.1.5.5.7.6.46	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_46.crt	OK
1.3.6.1.5.5.7.6.47	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_47.crt	OK
1.3.6.1.5.5.7.6.48	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_48.crt	OK
1.3.6.1.5.5.7.6.49	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_49.crt	OK
1.3.6.1.5.5.7.6.50	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_50.crt	OK
1.3.6.1.5.5.7.6.51	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_51.crt	OK
1.3.6.1.5.5.7.6.52	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_52.crt	OK
1.3.6.1.5.5.7.6.53	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_53.crt	OK
1.3.6.1.5.5.7.6.54	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_54.crt	OK
1.3.6.1.5.5.7.6.55	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_55.crt	OK
1.3.6.1.5.5.7.6.56	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_56.crt	OK
1.3.6.1.5.5.7.6.57	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_57.crt	OK
1.3.6.1.5.5.7.6.58	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_58.crt	OK
1.3.6.1.5.5.7.6.59	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_59.crt	OK
1.3.6.1.5.5.7.6.60	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_60.crt	OK
1.3.6.1.5.5.7.6.61	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_61.crt	OK
1.3.6.1.5.5.7.6.62	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_62.crt	OK
1.3.6.1.5.5.7.6.63	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_63.crt	OK
1.3.6.1.5.5.7.6.64	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_64.crt	OK
1.3.6.1.5.5.7.6.65	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_65.crt	OK
1.3.6.1.5.5.7.6.66	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_6_1_5_5_7_6_66.crt	OK
1.3.9999	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_1_3_9999.crt	OK
2.16.840.1.101.3.4.3.20	sig	real-pqc	SLH-DSA-SHA2-128s	ee_2_16_840_1_101_3_4_3_20.crt	OK
2.16.840.1.101.3.4.3.21	sig	real-pqc	SLH-DSA-SHA2-128f	ee_2_16_840_1_101_3_4_3_21.crt	OK
2.16.840.1.101.3.4.3.22	sig	real-pqc	SLH-DSA-SHA2-192s	ee_2_16_840_1_101_3_4_3_22.crt	OK
2.16.840.1.101.3.4.3.23	sig	real-pqc	SLH-DSA-SHA2-192f	ee_2_16_840_1_101_3_4_3_23.crt	OK
2.16.840.1.101.3.4.3.24	sig	real-pqc	SLH-DSA-SHA2-256s	ee_2_16_840_1_101_3_4_3_24.crt	OK
2.16.840.1.101.3.4.3.25	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_2_16_840_1_101_3_4_3_25.crt	OK
2.16.840.1.101.3.4.3.26	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_2_16_840_1_101_3_4_3_26.crt	OK
2.16.840.1.101.3.4.3.27	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_2_16_840_1_101_3_4_3_27.crt	OK
2.16.840.1.101.3.4.3.28	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_2_16_840_1_101_3_4_3_28.crt	OK
2.16.840.1.101.3.4.3.29	sig	experimental-placeholder	placeholder(ML-DSA-65)	ee_2_16_840_1_101_3_4_3_29.crt	OK
