key_algorithm_oid,test_result
2.16.840.1.101.3.4.4.3,N
2.16.840.1.114027.80.8.1.12,N
2.16.840.1.114027.80.8.1.8,N
2.16.840.1.101.3.4.3.29,N
2.16.840.1.114027.80.8.1.2,N
2.16.840.1.101.3.4.3.30,N
2.16.840.1.114027.80.8.1.11,N
2.16.840.1.101.3.4.3.19,N
2.16.840.1.101.3.4.3.31,N
1.3.9999.3.9,N
2.16.840.1.101.3.4.3.24,N
2.16.840.1.114027.80.8.1.7,N
1.2.840.113549.1.1.1,N
1.3.101.113,N
2.16.840.1.101.3.4.4.1,N
1.2.840.10045.2.1,N
2.16.840.1.114027.80.8.1.4,N
2.16.840.1.101.3.4.3.22,N
2.16.840.1.114027.80.8.1.5,N
2.16.840.1.101.3.4.3.23,N
2.16.840.1.114027.80.8.1.9,N
2.16.840.1.101.3.4.3.17,N
2.16.840.1.101.3.4.3.27,N
2.16.840.1.101.3.4.3.21,N
2.16.840.1.101.3.4.3.20,N
2.16.840.1.101.3.4.3.26,N
2.16.840.1.101.3.4.3.28,N
1.3.9999.3.6,N
2.16.840.1.101.3.4.3.18,N
2.16.840.1.101.3.4.4.2,N
2.16.840.1.101.3.4.3.25,N
