key_algorithm_oid,test_result
2.16.840.1.101.3.4.3.21,Y
2.16.840.1.114027.80.8.1.4,N
2.16.840.1.101.3.4.3.25,Y
2.16.840.1.101.3.4.3.22,Y
1.3.101.113,N
2.16.840.1.101.3.4.3.17,Y
2.16.840.1.114027.80.8.1.11,N
2.16.840.1.114027.80.8.1.7,N
1.3.9999.3.6,N
2.16.840.1.101.3.4.3.29,Y
2.16.840.1.101.3.4.3.27,Y
2.16.840.1.101.3.4.3.28,Y
2.16.840.1.101.3.4.3.20,Y
2.16.840.1.101.3.4.3.30,Y
2.16.840.1.101.3.4.3.23,Y
2.16.840.1.114027.80.8.1.5,N
2.16.840.1.101.3.4.3.24,Y
2.16.840.1.101.3.4.3.19,Y
2.16.840.1.101.3.4.3.31,Y
2.16.840.1.101.3.4.3.26,Y
1.2.840.113549.1.1.1,N
2.16.840.1.114027.80.8.1.12,N
2.16.840.1.114027.80.8.1.8,N
2.16.840.1.114027.80.8.1.2,N
1.3.9999.3.9,N
2.16.840.1.101.3.4.3.18,Y
2.16.840.1.114027.80.8.1.9,N
1.2.840.10045.2.1,N
